newspaper_id	time_str	original_title	n_original_body_lines	hash	time_ut	original_lang	url
dailymirrorlk	2024-02-17 13:22:00	Policy framework sent to Parliament for transformational change in education sector: Minister	5	2f0ce35b	1708156320.0	en	https://www.dailymirror.lk/breaking-news/Policy-framework-sent-to-Parliament-for-transformational-change-in-education-sector-Minister/108-277233
adaderanalk	2024-02-17 13:12:00	Two teenagers charged over shooting at Kansas City Super Bowl parade	20	d9a68c8e	1708155720.0	en	https://www.adaderana.lk/news/97346/two-teenagers-charged-over-shooting-at-kansas-city-super-bowl-parade
virakesarilk	2024-02-17 13:00:00	நிறைவேற்று அதிகார ஜனாதிபதிமுறையை நீக்குவதற்கான முயற்சிகளின் பின்னணியில் முன்னாள் ஜனாதிபதி சந்திரிகா குமாரதுங்க? டெய்லி மிரர்	8	cb962675	1708155000.0	ta	https://www.virakesari.lk/article/176610
adaderanasinhalalk	2024-02-17 12:53:00	ජාතික රෝහලේ කනිෂ්ඨ කාර්‍ය මණ්ඩලයෙන් දැඩි තීරණයක්	3	5f96cf8b	1708154580.0	si	http://sinhala.adaderana.lk/news/193502
virakesarilk	2024-02-17 12:44:00	மரக்கறிகளின் விலைகள் வார நாட்களை விட இன்று குறைந்தது	2	a68b1abc	1708154040.0	ta	https://www.virakesari.lk/article/176604
virakesarilk	2024-02-17 12:39:00	புட்டின் அரசாங்கம் ஒரு எதேச்சதிகார அரசாங்கம் - நவால்னி மரணத்தின் பின்னர் அவுஸ்திரேலிய பிரதமர் சீற்றம்	4	2f3d69be	1708153740.0	ta	https://www.virakesari.lk/article/176608
adaderanalk	2024-02-17 12:37:00	Several vehicles seized under ‘Yukthiya’ operation ordered to be handed over to registered owners	4	b01fea75	1708153620.0	en	https://www.adaderana.lk/news/97345/several-vehicles-seized-under-yukthiya-operation-ordered-to-be-handed-over-to-registered-owners
virakesarilk	2024-02-17 12:26:00	நவால்னியின் மரணத்திற்கு புட்டினே காரணம் - பைடன்	4	7cd06ffe	1708152960.0	ta	https://www.virakesari.lk/article/176606
dailymirrorlk	2024-02-17 11:46:00	Russian tourist fined Rs. 1.78Mn for damaging train in railway crossing mishap	5	77e6e6fb	1708150560.0	en	https://www.dailymirror.lk/breaking-news/Russian-tourist-fined-Rs-1-78Mn-for-damaging-train-in-railway-crossing-mishap/108-277231
tamilmirrorlk	2024-02-17 11:42:19	கிணற்றை எட்டிப்பார்த்தவருக்கு காத்திருந்த அதிர்ச்சி	3	99954ccc	1708150339.0	ta	https://www.tamilmirror.lk/செய்திகள்/கிணற்றை-எட்டிப்பார்த்தவருக்கு-காத்திருந்த-அதிர்ச்சி/175-333342
