newspaper_id	time_str	original_title	n_original_body_lines	hash	time_ut	original_lang	url
newsfirstlk	2023-12-05 10:55:00	COP28: Ranil returns to Sri Lanka following multiple climate sessions in Dubai	34	cf3f1f1f	1701753900.0	en	https://www.newsfirst.lk/2023/12/05/cop28-ranil-returns-to-sri-lanka-following-multiple-climate-sessions-in-dubai/
newsfirstlk	2023-12-05 10:09:00	Hambantota Port gearing up for major container handling	14	112d562e	1701751140.0	en	https://www.newsfirst.lk/2023/12/05/hambantota-port-gearing-up-for-major-container-handling/
newsfirstlk	2023-12-05 10:07:00	Face to Face | Shanakiyan Rasamanickam | Bridging the divide	5	afde5c7e	1701751020.0	en	https://www.newsfirst.lk/2023/12/05/face-to-face-shanakiyan-rasamanickam-bridging-the-divide/
tamilmirrorlk	2023-12-05 10:04:16	மாணவர்களின் கல்வியாண்டு ஓராண்டு குறைப்பு	3	e28073f7	1701750856.0	ta	https://www.tamilmirror.lk/செய்திகள்/மாணவர்களின்-கல்வியாண்டு-ஓராண்டு-குறைப்பு/175-329188
newsfirstlk	2023-12-05 09:50:00	When dissenters are targeted | Paikiasothy Saravanamuttu on The People’s Platform	5	acb55053	1701750000.0	en	https://www.newsfirst.lk/2023/12/05/when-dissenters-are-targeted-paikiasothy-saravanamuttu-on-the-people-s-platform/
tamilmirrorlk	2023-12-05 09:47:47	இரவு இசை நிகழ்வுக்கு  அனுமதி மறுப்பு	3	b67560de	1701749867.0	ta	https://www.tamilmirror.lk/யாழ்ப்பாணம்/இரவு-இசை-நிகழ்வுக்கு-அனுமதி-மறுப்பு/71-329187
tamilmirrorlk	2023-12-05 09:45:51	ஜோன் கெரிக்கு ஜனாதிபதி அழைப்பு விடுத்தார்	4	2ec84609	1701749751.0	ta	https://www.tamilmirror.lk/செய்திகள்/ஜோன்-கெரிக்கு-ஜனாதிபதி-அழைப்பு-விடுத்தார்/175-329186
newsfirstlk	2023-12-05 09:45:00	COP28: Ranil invites John Kerry to witness Sri Lanka’s commitment to combat climate change	10	69111150	1701749700.0	en	https://www.newsfirst.lk/2023/12/05/cop28-ranil-invites-john-kerry-to-witness-sri-lanka-s-commitment-to-combat-climate-change/
newsfirstlk	2023-12-05 09:35:00	When dissenters are targeted | Paikiasothy Saravanamuttu on The Talk of the Town	5	3c4aac25	1701749100.0	en	https://www.newsfirst.lk/2023/12/05/when-dissenters-are-targeted-paikiasothy-saravanamuttu-on-the-talk-of-the-town/
tamilmirrorlk	2023-12-05 09:16:21	இன்றைய பாராளுமன்ற அமர்வு	3	82523e2e	1701747981.0	ta	https://www.tamilmirror.lk/செய்திகள்/இன்றைய-பாராளுமன்ற-அமர்வு/175-329183
virakesarilk	2023-12-05 09:08:00	மட்டு. தரவை மாவீரர் நினைவேந்தலில் பயங்கரவாத தடைச்சட்டத்தில் கைதான 4 பேருக்கு விளக்கமறியல்	5	ec502941	1701747480.0	ta	https://www.virakesari.lk/article/170983
tamilmirrorlk	2023-12-05 09:03:58	மின்சாத்தை துண்டிக்கச் சென்ற அதிகாரிகள் மீது தாக்குதல்	3	0e433a41	1701747238.0	ta	https://www.tamilmirror.lk/செய்திகள்/மின்சாத்தை-துண்டிக்கச்-சென்ற-அதிகாரிகள்-மீது-தாக்குதல்/175-329182
tamilmirrorlk	2023-12-05 08:54:24	சென்னைக்கான விமான சேவை மறு அறிவித்தல் இடைநிறுத்தம்	2	8242b47d	1701746664.0	ta	https://www.tamilmirror.lk/செய்திகள்/சென்னைக்கான-விமான-சேவை-மறு-அறிவித்தல்-இடைநிறுத்தம்/175-329181
tamilmirrorlk	2023-12-05 08:49:22	“MICHAUNG” சூறாவளியின் தற்போதைய நிலை என்ன?	6	60c604f5	1701746362.0	ta	https://www.tamilmirror.lk/செய்திகள்/MICHAUNG-சூறாவளியின்-தற்போதைய-நிலை-என்ன/175-329180
tamilmirrorlk	2023-12-05 04:04:56	கொழும்பில் டெங்கு பரவல் அதிகரிப்பு	2	096380d2	1701729296.0	ta	https://www.tamilmirror.lk/செய்திகள்/கொழும்பில்-டெங்கு-பரவல்-அதிகரிப்பு/175-329179
tamilmirrorlk	2023-12-05 04:03:24	கட்புலனற்றோருக்கு விசேட வாக்குச் சீட்டுகள்	2	9577790c	1701729204.0	ta	https://www.tamilmirror.lk/செய்திகள்/கட்புலனற்றோருக்கு-விசேட-வாக்குச்-சீட்டுகள்/175-329178
tamilmirrorlk	2023-12-05 04:01:59	’நாடு கடத்தப்பட்டவர்களை மீள அழையுங்கள்’	4	bc9bfe20	1701729119.0	ta	https://www.tamilmirror.lk/செய்திகள்/நாடு-கடத்தப்பட்டவர்களை-மீள-அழையுங்கள்/175-329177
tamilmirrorlk	2023-12-05 03:59:53	வெள்ளத்தில் மூழ்கிய சென்னை விமான நிலையம்	3	a028ae48	1701728993.0	ta	https://www.tamilmirror.lk/செய்திகள்/வெள்ளத்தில்-மூழ்கிய-சென்னை-விமான-நிலையம்/175-329176
